epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,55.9002,1.61181,0.12406,0.19498,0.82443,1.67123,0.9848,0.85714,0.96389,0.32756,0.9848,0.85714,0.96389,0.94751,2.20708,0.20559,0.03289,0.97156,1.88873,0.0010892,0.0010892,0.0010892
48,57.0013,1.61742,0.13224,0.20216,0.81395,1.66736,0.9848,0.85714,0.96389,0.32756,0.9848,0.85714,0.96389,0.94751,2.20708,0.20559,0.03289,0.97156,1.88873,0.0010694,0.0010694,0.0010694
49,58.0929,1.60548,0.10948,0.07701,0.79394,1.63167,0.98409,0.85714,0.96389,0.30846,0.98409,0.85714,0.96389,0.94657,2.27058,0.21224,0.02799,0.98689,1.92552,0.0010496,0.0010496,0.0010496
50,59.1874,1.61283,0.12396,0.03251,0.81257,1.76371,0.98409,0.85714,0.96389,0.30846,0.98409,0.85714,0.96389,0.94657,2.27058,0.21224,0.02799,0.98689,1.92552,0.0010298,0.0010298,0.0010298
51,60.2825,1.60702,0.14007,0.05814,0.80158,1.55397,0.98409,0.85714,0.96389,0.30846,0.98409,0.85714,0.96389,0.94657,2.27058,0.21224,0.02799,0.98689,1.92552,0.00101,0.00101,0.00101
52,61.3778,1.54919,0.1203,0.07163,0.84376,1.56449,0.98417,0.85714,0.9775,0.36904,0.98417,0.85714,0.9775,0.96128,2.11997,0.21403,0.02614,0.90657,1.80772,0.0009902,0.0009902,0.0009902
53,62.5287,1.69737,0.11486,0.16421,0.83591,1.66521,0.98417,0.85714,0.9775,0.36904,0.98417,0.85714,0.9775,0.96128,2.11997,0.21403,0.02614,0.90657,1.80772,0.0009704,0.0009704,0.0009704
54,63.6498,1.42699,0.10991,0.09581,0.8053,1.59152,0.98417,0.85714,0.9775,0.36904,0.98417,0.85714,0.9775,0.96128,2.11997,0.21403,0.02614,0.90657,1.80772,0.0009506,0.0009506,0.0009506
55,64.7687,1.41115,0.11075,0.04432,0.75153,1.55595,0.98656,0.85714,0.9775,0.40393,0.98656,0.85714,0.9775,0.9473,2.22048,0.20601,0.02135,0.83939,1.86347,0.0009308,0.0009308,0.0009308
56,65.8518,1.47522,0.11433,0.14175,0.76456,1.60153,0.98656,0.85714,0.9775,0.40393,0.98656,0.85714,0.9775,0.9473,2.22048,0.20601,0.02135,0.83939,1.86347,0.000911,0.000911,0.000911
